120,180,0,0,1
130,160,0,0,1
150,160,0,0,1
160,180,0,0,1
150,200,0,0,1
130,200,0,0,1
160,140,0,0,1
180,140,0,0,1
190,160,0,0,1
180,180,0,0,1
190,120,0,0,1
210,120,0,0,1
220,140,0,0,1
210,160,0,0,1
220,100,0,0,1
240,100,0,0,1
250,120,0,0,1
240,140,0,0,1
250,80,0,0,0
270,80,0,0,0
280,100,0,0,0
270,120,0,0,0
280,140,0,0,0
270,160,0,0,0
250,160,0,0,1
240,180,0,0,1
220,180,0,0,1
280,180,0,0,0
270,200,0,0,0
250,200,0,0,1
210,200,0,0,1
190,200,0,0,1
240,220,0,0,1
220,220,0,0,1
280,220,0,0,0
270,240,0,0,0
250,240,0,0,1
180,220,0,0,1
160,220,0,0,1
210,240,0,0,1
190,240,0,0,1
240,260,0,0,1
220,260,0,0,1
280,260,0,0,0
270,280,0,0,0
250,280,0,0,0
90,160,0,0,1
100,140,0,0,1
120,140,0,0,1
100,180,0,0,1
60,140,0,0,1
70,120,0,0,1
90,120,0,0,1
70,160,0,0,1
30,120,0,0,1
40,100,0,0,1
60,100,0,0,1
40,140,0,0,1
0,100,0,0,0
10,80,0,0,0
30,80,0,0,0
10,120,0,0,0
0,140,0,0,0
30,160,0,0,1
10,160,0,0,0
60,180,0,0,1
40,180,0,0,1
0,180,0,0,0
30,200,0,0,1
10,200,0,0,0
90,200,0,0,1
70,200,0,0,1
60,220,0,0,1
40,220,0,0,1
0,220,0,0,0
30,240,0,0,1
10,240,0,0,0
120,220,0,0,1
100,220,0,0,1
90,240,0,0,1
70,240,0,0,1
60,260,0,0,1
40,260,0,0,1
0,260,0,0,0
30,280,0,0,0
10,280,0,0,0
130,120,0,0,1
150,120,0,0,1
120,100,0,0,1
130,80,0,0,1
150,80,0,0,1
160,100,0,0,1
120,60,0,0,1
130,40,0,0,1
150,40,0,0,1
160,60,0,0,1
120,20,0,0,0
130,0,0,0,0
150,0,0,0,0
160,20,0,0,0
180,20,0,0,0
190,40,0,0,0
180,60,0,0,1
90,40,0,0,0
100,20,0,0,0
100,60,0,0,1
190,80,0,0,1
180,100,0,0,1
210,40,0,0,0
220,60,0,0,0
210,80,0,0,1
90,80,0,0,1
100,100,0,0,1
60,60,0,0,0
70,40,0,0,0
70,80,0,0,1
240,60,0,0,0
40,60,0,0,0
150,240,0,0,1
130,240,0,0,1
120,260,0,0,1
160,260,0,0,1
150,280,0,0,1
130,280,0,0,1
120,300,0,0,1
160,300,0,0,1
150,320,0,0,1
130,320,0,0,1
120,340,0,0,0
160,340,0,0,0
150,360,0,0,0
130,360,0,0,0
180,300,0,0,1
190,320,0,0,0
180,340,0,0,0
90,320,0,0,0
100,300,0,0,1
100,340,0,0,0
180,260,0,0,1
190,280,0,0,1
210,280,0,0,1
220,300,0,0,0
210,320,0,0,0
90,280,0,0,1
100,260,0,0,1
60,300,0,0,0
70,280,0,0,1
70,320,0,0,0
240,300,0,0,0
40,300,0,0,0
