0,1,0
1,2,0
2,3,0
3,4,0
4,5,0
0,5,0
2,6,0
6,7,0
7,8,0
8,9,0
3,9,0
7,10,0
10,11,0
11,12,0
12,13,0
8,13,0
11,14,0
14,15,0
15,16,0
16,17,0
12,17,0
17,24,0
24,25,0
25,26,0
13,26,0
26,30,0
30,31,0
9,31,0
25,29,0
29,32,0
32,33,0
30,33,0
31,37,0
37,38,0
4,38,0
33,39,0
39,40,0
37,40,0
32,36,0
36,41,0
41,42,0
39,42,0
46,47,0
47,48,0
1,48,0
0,49,0
46,49,0
50,51,0
51,52,0
47,52,0
46,53,0
50,53,0
54,55,0
55,56,0
51,56,0
50,57,0
54,57,0
57,63,0
53,65,0
65,66,0
63,66,0
49,70,0
70,71,0
65,71,0
66,68,0
71,72,0
72,73,0
68,73,0
5,77,0
77,78,0
70,78,0
78,79,0
79,80,0
72,80,0
73,75,0
80,81,0
81,82,0
75,82,0
48,86,0
86,87,0
6,87,0
88,89,0
89,90,0
90,91,0
87,91,0
86,88,0
92,93,0
93,94,0
94,95,0
90,95,0
89,92,0
95,102,0
102,106,0
106,107,0
91,107,0
105,111,0
92,105,0
88,112,0
111,112,0
10,107,0
106,110,0
14,110,0
52,112,0
56,115,0
111,115,0
38,118,0
118,119,0
77,119,0
119,120,0
118,121,0
121,122,0
122,123,0
120,123,0
123,124,0
122,125,0
125,126,0
126,127,0
124,127,0
121,138,0
138,139,0
132,139,0
125,132,0
143,144,0
120,144,0
124,136,0
136,143,0
40,138,0
42,140,0
139,140,0
79,144,0
143,146,0
81,146,0
